territorio,renda_media,13anos_esc,14anos_esc,15anos_esc,16anos_esc,17anos_esc,pop,perc_mais_12anos_esc
CS ABRAÃO,"4,244.86",278,284,666,4427,245,11567,51.00717559
CS AGRONÔMICA,"4,027.83",360,296,852,5703,1123,18325,45.47885402
CS ALTO RIBEIRÃO,"1,986.24",76,56,184,1230,54,5396,29.65159377
CS ARMAÇÃO,"2,265.14",96,89,230,1550,118,5201,40.04999039
CS BALNEÁRIO,"3,766.17",220,195,525,3470,95,8503,52.98130072
CS BARRA DA LAGOA,"1,722.61",112,104,265,1769,231,6771,36.64155959
CS CACHOEIRA DO BOM JESUS,"1,790.63",67,63,165,1091,80,6782,21.61604247
CS CAIEIRA DA BARRA DO SUL,"2,362.59",28,20,67,454,20,1983,29.702471
CS CAMPECHE,"3,144.88",227,204,539,3586,609,11075,46.63656885
CS CANASVIEIRAS,"2,109.72",252,243,604,4018,571,17565,32.38257899
CS CANTO DA LAGOA,"4,019.85",81,75,195,1282,136,4147,42.65734266
CS CAPOEIRAS,"2,730.06",161,139,378,2518,177,10471,32.21277815
CS CARIANOS,"2,752.34",157,122,382,2631,131,9529,35.92192255
CS CENTRO,"7,266.41",1161,1261,2783,18161,2230,39309,65.11485919
CS COLONINHA,"2,660.09",266,218,625,4155,253,11438,48.23395699
CS COQUEIROS,"5,231.80",367,357,866,5727,859,15173,53.8851908
CS CÓRREGO GRANDE,"5,004.14",508,406,1208,7810,1280,14897,75.26347587
CS COSTA DA LAGOA,0,18,17,44,297,32,959,42.544317
CS COSTEIRA DO PIRAJUBAÉ,"1,517.90",318,197,756,4984,689,11249,61.72993155
CS ESTREITO,"3,798.71",401,343,946,6281,270,15887,51.87260024
CS FAZENDA DO RIO TAVARES,"2,364.38",217,193,515,3423,590,10426,47.36236332
CS INGLESES,"2,082.49",440,390,1032,7205,439,28295,33.5960417
CS ITACORUBI,"4,042.96",544,458,1309,8489,1896,17926,70.82450073
CS JARDIM ATLÂNTICO,"2,943.80",127,98,301,2012,91,6238,42.14491824
CS JOÃO PAULO,"5,346.49",137,118,329,2204,345,6979,44.89181831
CS JURERE,"6,069.09",127,124,304,2023,314,8252,35.04604944
CS LAGOA DA CONCEIÇÃO,"3,509.62",177,162,424,2819,336,8738,44.83863584
CS MONTE CRISTO,"1,201.45",101,75,232,1522,51,15447,12.82449667
CS MONTE SERRAT,"2,551.80",101,89,244,1635,106,10581,20.55571307
CS MORRO DAS PEDRAS,"2,211.40",130,118,307,2074,227,6869,41.57810453
CS NOVO CONTINENTE,"2,144.89",167,141,396,2633,187,6929,50.85870977
CS PANTANAL,"4,159.65",279,171,664,4339,682,8746,70.14635262
CS PÂNTANO DO SUL,"2,512.02",61,58,149,1003,77,3377,39.91708617
CS PONTA DAS CANAS,"2,085.41",48,44,118,784,55,4949,21.19620125
CS PRAINHA,"1,461.41",124,115,296,2035,207,7712,36.00881743
CS RATONES,"1,352.68",52,43,123,821,110,3334,34.46310738
CS RIBEIRÃO DA ILHA,"2,351.12",44,37,107,743,45,2742,35.5944566
CS RIO TAVARES,"3,098.27",196,176,461,3068,539,9093,48.82876938
CS RIO VERMELHO,"1,374.56",201,188,467,3148,531,15039,30.15493051
CS SACO DOS LIMÕES,"2,097.75",450,267,1066,6943,1244,13825,72.11573237
CS SACO GRANDE,"2,380.68",227,203,549,3674,330,16279,30.60998833
CS SANTINHO,"2,081.77",123,108,291,2038,124,8107,33.10719132
CS SANTO ANTONIO DE LISBOA,"4,768.34",128,110,307,2059,242,8632,32.97034291
CS SAPÉ,"1,651.16",122,94,288,1929,85,5882,42.80856851
CS TAPERA,"1,322.28",222,172,538,3709,181,13719,35.14833443
CS TRINDADE,"3,301.67",784,508,1861,12039,2352,24877,70.52297303
CS VARGEM GRANDE,850.61,89,75,212,1411,185,5911,33.36152935
CS VARGEM PEQUENA,"2,070.01",31,29,72,483,73,1964,35.0305499
CS VILA APARECIDA,403.87,84,83,197,1299,233,3536,53.6199095
